x,EVTYPE,Categories
176,HEAVY SNOW/BLIZZARD,WINTER WEATHER
177,HEAVY SNOW/BLIZZARD/AVALANCHE,WINTER WEATHER
178,HEAVY SNOW/FREEZING RAIN,WINTER WEATHER
179,HEAVY SNOW/HIGH WINDS & FLOOD,WINTER WEATHER
180,HEAVY SNOW/ICE,WINTER WEATHER
181,HEAVY SNOW/SQUALLS,WINTER WEATHER
182,HEAVY SNOW/WIND,WINTER WEATHER
183,HEAVY SNOW/WINTER STORM,WINTER WEATHER
184,HEAVY SNOWPACK,WINTER WEATHER
185,Heavy Surf,HIGH SURF
186,HEAVY SURF,HIGH SURF
187,Heavy surf and wind,HIGH SURF
188,HEAVY SURF COASTAL FLOODING,HIGH SURF
189,HEAVY SURF/HIGH SURF,HIGH SURF
190,HEAVY SWELLS,HIGH SURF
191,HIGH,WIND
192,HIGH  WINDS,WIND
193,HIGH SEAS,HIGH SURF
194,High Surf,HIGH SURF
195,HIGH SURF,HIGH SURF
196,HIGH SWELLS,HIGH SURF
197,HIGH TIDES,HIGH SURF
198,HIGH WATER,HIGH SURF
199,HIGH WAVES,HIGH SURF
200,HIGH WIND,WIND
201,HIGH WIND (G40),WIND
202,HIGH WIND 48,WIND
203,HIGH WIND AND SEAS,WIND
204,HIGH WIND DAMAGE,WIND
205,HIGH WIND/BLIZZARD,WIND
206,HIGH WIND/HEAVY SNOW,WIND
207,HIGH WIND/SEAS,WIND
208,HIGH WINDS,WIND
209,HIGH WINDS HEAVY RAINS,WIND
210,HIGH WINDS/,WIND
211,HIGH WINDS/COASTAL FLOOD,WIND
212,HIGH WINDS/COLD,WIND
213,HIGH WINDS/HEAVY RAIN,WIND
214,HIGH WINDS/SNOW,WIND
215,HURRICANE,HURRICANE/TYPHOON
216,HURRICANE-GENERATED SWELLS,HURRICANE/TYPHOON
217,Hurricane Edouard,HURRICANE/TYPHOON
218,HURRICANE EMILY,HURRICANE/TYPHOON
219,HURRICANE ERIN,HURRICANE/TYPHOON
220,HURRICANE FELIX,HURRICANE/TYPHOON
221,HURRICANE GORDON,HURRICANE/TYPHOON
222,HURRICANE OPAL,HURRICANE/TYPHOON
223,HURRICANE OPAL/HIGH WINDS,HURRICANE/TYPHOON
224,HURRICANE/TYPHOON,HURRICANE/TYPHOON
225,HVY RAIN,RAIN
226,HYPERTHERMIA/EXPOSURE,COLD
227,HYPOTHERMIA,COLD
228,Hypothermia/Exposure,COLD
229,HYPOTHERMIA/EXPOSURE,COLD
230,ICE,WINTER WEATHER
231,ICE AND SNOW,WINTER WEATHER
232,ICE FLOES,WINTER WEATHER
233,ICE JAM,WINTER WEATHER
234,Ice jam flood (minor,WINTER WEATHER
235,ICE JAM FLOODING,WINTER WEATHER
236,ICE ON ROAD,WINTER WEATHER
237,ICE ROADS,WINTER WEATHER
238,ICE STORM,WINTER WEATHER
239,ICE STORM/FLASH FLOOD,WINTER WEATHER
240,ICE/STRONG WINDS,WINTER WEATHER
241,ICY ROADS,WINTER WEATHER
242,LAKE-EFFECT SNOW,WINTER WEATHER
243,Lake Effect Snow,WINTER WEATHER
244,LAKE EFFECT SNOW,WINTER WEATHER
245,LAKE FLOOD,FLOOD
246,LAKESHORE FLOOD,FLOOD
247,LANDSLIDE,LANDSLIDE
248,LANDSLIDES,LANDSLIDE
249,Landslump,LANDSLIDE
250,LANDSPOUT,DUST STORM
251,LATE SEASON SNOW,WINTER WEATHER
252,LIGHT FREEZING RAIN,COLD
253,Light snow,WINTER WEATHER
254,Light Snow,WINTER WEATHER
255,LIGHT SNOW,WINTER WEATHER
256,Light Snowfall,WINTER WEATHER
257,LIGHTING,LIGHTNING
258,LIGHTNING,LIGHTNING
259,LIGHTNING  WAUSEON,LIGHTNING
260,LIGHTNING AND HEAVY RAIN,LIGHTNING
261,LIGHTNING AND THUNDERSTORM WIN,LIGHTNING
262,LIGHTNING FIRE,LIGHTNING
263,LIGHTNING INJURY,LIGHTNING
264,LIGHTNING THUNDERSTORM WINDS,LIGHTNING
265,LIGHTNING.,LIGHTNING
266,LIGHTNING/HEAVY RAIN,LIGHTNING
267,LIGNTNING,LIGHTNING
268,LOW TEMPERATURE,COLD
269,MAJOR FLOOD,FLOOD
270,Marine Accident,HIGH SURF
271,MARINE HAIL,WINTER WEATHER
272,MARINE HIGH WIND,WIND
273,MARINE MISHAP,WIND
274,MARINE STRONG WIND,WIND
275,MARINE THUNDERSTORM WIND,WIND
276,MARINE TSTM WIND,WIND
277,Microburst,WIND
278,MICROBURST,WIND
279,MICROBURST WINDS,WIND
280,MINOR FLOODING,FLOOD
281,MIXED PRECIP,RAIN
282,Mixed Precipitation,RAIN
283,MIXED PRECIPITATION,RAIN
284,MUD SLIDE,LANDSLIDE
285,MUD SLIDES,LANDSLIDE
286,MUD SLIDES URBAN FLOODING,LANDSLIDE
287,Mudslide,LANDSLIDE
288,MUDSLIDE,LANDSLIDE
289,Mudslides,LANDSLIDE
290,MUDSLIDES,LANDSLIDE
291,NON-SEVERE WIND DAMAGE,WIND
292,NON-TSTM WIND,WIND
293,NON TSTM WIND,WIND
294,Other,OTHERS
295,OTHER,OTHERS
296,RAIN,RAIN
297,RAIN/SNOW,RAIN
298,RAIN/WIND,RAIN
299,RAINSTORM,RAIN
300,RAPIDLY RISING WATER,FLOOD
301,RECORD COLD,COLD
302,RECORD HEAT,DROUGHT/HEAT
303,RECORD RAINFALL,RAIN
304,RECORD SNOW,WINTER WEATHER
305,RECORD/EXCESSIVE HEAT,DROUGHT/HEAT
306,RIP CURRENT,RIP CURRENT
307,RIP CURRENTS,RIP CURRENT
308,RIP CURRENTS/HEAVY SURF,RIP CURRENT
309,RIVER AND STREAM FLOOD,FLOOD
310,RIVER FLOOD,FLOOD
311,River Flooding,FLOOD
312,RIVER FLOODING,FLOOD
313,ROCK SLIDE,LANDSLIDE
314,ROGUE WAVE,HIGH SURF
315,ROUGH SEAS,HIGH SURF
316,ROUGH SURF,HIGH SURF
317,RURAL FLOOD,FLOOD
318,SEICHE,HIGH SURF
319,SEVERE THUNDERSTORM,THUNDERSTORM
320,SEVERE THUNDERSTORM WINDS,THUNDERSTORM
321,SEVERE THUNDERSTORMS,THUNDERSTORM
322,SEVERE TURBULENCE,HIGH SURF
323,SLEET,WINTER WEATHER
324,SLEET/ICE STORM,WINTER WEATHER
325,SMALL HAIL,WINTER WEATHER
326,SMALL STREAM FLOOD,FLOOD
327,Snow,WINTER WEATHER
328,SNOW,WINTER WEATHER
329,SNOW ACCUMULATION,WINTER WEATHER
330,SNOW AND HEAVY SNOW,WINTER WEATHER
331,SNOW AND ICE,WINTER WEATHER
332,SNOW AND ICE STORM,WINTER WEATHER
333,SNOW FREEZING RAIN,WINTER WEATHER
334,SNOW SQUALL,WINTER WEATHER
335,Snow Squalls,WINTER WEATHER
336,SNOW SQUALLS,WINTER WEATHER
337,SNOW/ BITTER COLD,WINTER WEATHER
338,SNOW/ ICE,WINTER WEATHER
339,SNOW/BLOWING SNOW,WINTER WEATHER
340,SNOW/COLD,WINTER WEATHER
341,SNOW/FREEZING RAIN,WINTER WEATHER
342,SNOW/HEAVY SNOW,WINTER WEATHER
343,SNOW/HIGH WINDS,WINTER WEATHER
344,SNOW/ICE,WINTER WEATHER
345,SNOW/ICE STORM,WINTER WEATHER
346,SNOW/SLEET,WINTER WEATHER
347,SNOW/SLEET/FREEZING RAIN,WINTER WEATHER
348,SNOWMELT FLOODING,WINTER WEATHER
349,STORM FORCE WINDS,WIND
350,STORM SURGE,HIGH SURF
351,STORM SURGE/TIDE,HIGH SURF
352,Strong Wind,WIND
353,STRONG WIND,WIND
354,Strong Winds,WIND
355,STRONG WINDS,WIND
356,THUDERSTORM WINDS,THUNDERSTORM
357,THUNDEERSTORM WINDS,THUNDERSTORM
358,THUNDERESTORM WINDS,THUNDERSTORM
359,THUNDERSNOW,WINTER WEATHER
360,THUNDERSTORM,THUNDERSTORM
361,THUNDERSTORM  WINDS,THUNDERSTORM
362,THUNDERSTORM DAMAGE TO,THUNDERSTORM
363,THUNDERSTORM HAIL,THUNDERSTORM
364,THUNDERSTORM WIND,THUNDERSTORM
365,THUNDERSTORM WIND (G40),THUNDERSTORM
366,THUNDERSTORM WIND 60 MPH,THUNDERSTORM
367,THUNDERSTORM WIND 65 MPH,THUNDERSTORM
368,THUNDERSTORM WIND 65MPH,THUNDERSTORM
369,THUNDERSTORM WIND 98 MPH,THUNDERSTORM
370,THUNDERSTORM WIND G50,THUNDERSTORM
371,THUNDERSTORM WIND G52,THUNDERSTORM
372,THUNDERSTORM WIND G55,THUNDERSTORM
373,THUNDERSTORM WIND G60,THUNDERSTORM
374,THUNDERSTORM WIND TREES,THUNDERSTORM
375,THUNDERSTORM WIND.,THUNDERSTORM
376,THUNDERSTORM WIND/ TREE,THUNDERSTORM
377,THUNDERSTORM WIND/ TREES,THUNDERSTORM
378,THUNDERSTORM WIND/AWNING,THUNDERSTORM
379,THUNDERSTORM WIND/HAIL,THUNDERSTORM
380,THUNDERSTORM WIND/LIGHTNING,THUNDERSTORM
381,THUNDERSTORM WINDS,THUNDERSTORM
382,THUNDERSTORM WINDS 13,THUNDERSTORM
383,THUNDERSTORM WINDS 63 MPH,THUNDERSTORM
384,THUNDERSTORM WINDS AND,THUNDERSTORM
385,THUNDERSTORM WINDS G60,THUNDERSTORM
386,THUNDERSTORM WINDS HAIL,THUNDERSTORM
387,THUNDERSTORM WINDS LIGHTNING,THUNDERSTORM
388,THUNDERSTORM WINDS.,THUNDERSTORM
389,THUNDERSTORM WINDS/ FLOOD,THUNDERSTORM
390,THUNDERSTORM WINDS/FLOODING,THUNDERSTORM
391,THUNDERSTORM WINDS/FUNNEL CLOU,THUNDERSTORM
392,THUNDERSTORM WINDS/HAIL,THUNDERSTORM
393,THUNDERSTORM WINDS53,THUNDERSTORM
394,THUNDERSTORM WINDSHAIL,THUNDERSTORM
395,THUNDERSTORM WINDSS,THUNDERSTORM
396,THUNDERSTORM WINS,THUNDERSTORM
397,THUNDERSTORMS,THUNDERSTORM
398,THUNDERSTORMS WIND,THUNDERSTORM
399,THUNDERSTORMS WINDS,THUNDERSTORM
400,THUNDERSTORMW,THUNDERSTORM
401,THUNDERSTORMWINDS,THUNDERSTORM
402,THUNDERSTROM WIND,THUNDERSTORM
403,THUNDERTORM WINDS,THUNDERSTORM
404,THUNERSTORM WINDS,THUNDERSTORM
405,Tidal Flooding,COASTAL FLOOD
406,TIDAL FLOODING,COASTAL FLOOD
407,TORNADO,TORNADO
408,TORNADO F0,TORNADO
409,TORNADO F1,TORNADO
410,TORNADO F2,TORNADO
411,TORNADO F3,TORNADO
412,TORNADOES,TORNADO
413,"TORNADOES, TSTM WIND, HAIL",TORNADO
414,TORNDAO,TORNADO
415,Torrential Rainfall,RAIN
416,TROPICAL DEPRESSION,TROPICAL STORM
417,TROPICAL STORM,TROPICAL STORM
418,TROPICAL STORM ALBERTO,TROPICAL STORM
419,TROPICAL STORM DEAN,TROPICAL STORM
420,TROPICAL STORM GORDON,TROPICAL STORM
421,TROPICAL STORM JERRY,TROPICAL STORM
422,Tstm Wind,THUNDERSTORM
423,TSTM WIND,THUNDERSTORM
424,TSTM WIND  (G45),THUNDERSTORM
425,TSTM WIND (41),THUNDERSTORM
426,TSTM WIND (G35),THUNDERSTORM
427,TSTM WIND (G40),THUNDERSTORM
428,TSTM WIND (G45),THUNDERSTORM
429,TSTM WIND 40,THUNDERSTORM
430,TSTM WIND 45,THUNDERSTORM
431,TSTM WIND 55,THUNDERSTORM
432,TSTM WIND 65),THUNDERSTORM
433,TSTM WIND AND LIGHTNING,THUNDERSTORM
